,track_name,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
112,Applause,Pop,0.0299,0.667,0.7709999999999999,1.16e-06,0.0998,-4.269,0.052000000000000005,139.951,0.688,Cluster 1
113,Blurred Lines,Pop,0.004529999999999999,0.862,0.503,1.87e-05,0.0761,-7.7029999999999985,0.0494,119.998,0.863,Cluster 1
114,Titanium (feat. Sia),Pop,0.0682,0.602,0.7959999999999999,0.12,0.15,-3.657,0.103,126.06,0.265,Cluster 1
115,Teenage Dream,Pop,0.0132,0.7190000000000001,0.804,3.02e-06,0.139,-4.581,0.0355,119.999,0.605,Cluster 1
116,We Found Love,Pop,0.0225,0.755,0.74,0.00139,0.124,-4.9510000000000005,0.0407,127.98,0.609,Cluster 1
117,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Pop,0.02,0.378,0.638,7.659999999999999e-05,0.0849,-5.5760000000000005,0.075,184.086,0.735,Cluster 3
118,Call Me Maybe,Pop,0.0126,0.778,0.615,1.44e-06,0.108,-6.529,0.0384,120.045,0.648,Cluster 1
119,Lights - Single Version,Pop,0.0297,0.682,0.795,0.0391,0.131,-6.17,0.0367,120.008,0.78,Cluster 1
120,Roar,Pop,0.00635,0.56,0.7559999999999999,1.29e-05,0.55,-4.817,0.0415,179.771,0.404,Cluster 3
121,Suit & Tie,Pop,0.103,0.795,0.596,0.0,0.16399999999999998,-3.799,0.219,101.985,0.35700000000000004,Cluster 2
122,Moves Like Jagger - Studio Recording From The Voice Performance,Pop,0.0106,0.7140000000000001,0.748,0.0,0.325,-4.471,0.0546,128.03,0.586,Cluster 1
123,(You Drive Me) Crazy - The Stop Remix!,Pop,0.092,0.684,0.963,6.27e-05,0.35200000000000004,-2.397,0.0459,101.078,0.7809999999999999,Cluster 2
124,Locked Out Of Heaven,Pop,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867,Cluster 3
125,We Can't Stop,Pop,0.0083,0.607,0.619,0.0,0.366,-5.761,0.038,79.998,0.5,Cluster 4
126,Can't Hold Us - feat. Ray Dalton,Pop,0.0291,0.6409999999999999,0.922,0.0,0.0862,-4.457,0.0786,146.078,0.847,Cluster 3
127,Girl On Fire,Pop,0.135,0.482,0.706,0.00106,0.105,-5.7620000000000005,0.0609,92.494,0.14400000000000002,Cluster 2
128,Treasure,Pop,0.0412,0.8740000000000001,0.6920000000000001,7.240000000000001e-05,0.324,-5.28,0.0431,116.017,0.937,Cluster 1
129,One More Night,Pop,0.0499,0.7170000000000001,0.8190000000000001,0.0,0.0843,-3.435,0.032,92.988,0.619,Cluster 2
130,Firework,Pop,0.139,0.638,0.826,0.0,0.0803,-4.968,0.0479,124.072,0.649,Cluster 1
131,Summer,Pop,0.0215,0.603,0.861,0.043,0.1,-3.565,0.0325,127.962,0.72,Cluster 1
132,Come & Get It,Pop,0.00946,0.523,0.792,0.000108,0.0639,-4.125,0.0512,80.142,0.5760000000000001,Cluster 4
133,Summertime Sadness,Pop,0.0701,0.565,0.6559999999999999,2.25e-06,0.123,-6.806,0.0329,111.977,0.23,Cluster 2
134,All About That Bass,Pop,0.0476,0.8109999999999999,0.879,1.91e-06,0.109,-3.724,0.0514,134.064,0.962,Cluster 1
135,Wild Ones (feat. Sia),Pop,0.101,0.624,0.889,0.0,0.227,-3.772,0.0504,127.019,0.45,Cluster 1
136,Can't Remember to Forget You,Pop,0.132,0.6970000000000001,0.813,0.0,0.129,-3.399,0.0679,137.976,0.8109999999999999,Cluster 1
137,Rolling In The Deep,Pop,0.13,0.7290000000000001,0.777,0.0,0.0541,-5.112,0.0293,104.946,0.527,Cluster 2
138,Since U Been Gone,Pop,0.00175,0.664,0.741,0.0379,0.116,-5.318,0.0328,131.001,0.3720000000000001,Cluster 1
139,Toxic,Pop,0.0279,0.774,0.847,0.0183,0.241,-3.925,0.121,143.011,0.923,Cluster 3
140,Best Day Of My Life,Pop,0.0625,0.67,0.905,0.000151,0.0577,-2.385,0.0339,100.021,0.516,Cluster 2
141,Get Lucky - Radio Edit,Pop,0.0426,0.794,0.8109999999999999,1.07e-06,0.101,-8.966000000000003,0.038,116.047,0.862,Cluster 1
142,Safe And Sound,Pop,0.000189,0.652,0.7829999999999999,0.0173,0.0889,-4.829,0.0309,117.952,0.836,Cluster 1
143,Bailando - Spanish Version,Pop,0.0457,0.725,0.779,2.76e-06,0.0446,-3.5010000000000003,0.119,91.018,0.948,Cluster 2
144,Bad Romance,Pop,0.00264,0.695,0.919,4.1e-05,0.062,-3.769,0.0381,119.002,0.7170000000000001,Cluster 1
145,Die Young,Pop,0.00498,0.711,0.7,0.000125,0.215,-4.805,0.046,128.001,0.8009999999999999,Cluster 1
